modelName,WER
openai/whisper-large-v3,0.0
openai/whisper-large-v2,0.0
facebook/seamless-m4t-v2-large,0.0
facebook/seamless-m4t-large,0.0
distil-whisper/distil-large-v2,0.0
openai/whisper-large,0.0
jonatasgrosman/wav2vec2-large-xlsr-53-english,0.0
facebook/wav2vec2-base-960h,0.0
nvidia/canary-1b,0.0
openai/whisper-tiny,0.0
guillaumekln/faster-whisper-large-v2,0.0
Systran/faster-whisper-large-v3,0.0
openai/whisper-medium,0.0
openai/whisper-small,0.0
openai/whisper-base,0.0
distil-whisper/distil-large-v3,0.0
facebook/wav2vec2-large-960h-lv60-self,0.0
facebook/seamless-m4t-medium,0.0
distil-whisper/distil-medium.en,0.0
nvidia/parakeet-rnnt-1.1b,0.0
facebook/mms-1b-all,0.0
openai/whisper-tiny.en,0.0
distil-whisper/distil-small.en,0.0
nvidia/parakeet-tdt-1.1b,0.0
facebook/hubert-large-ls960-ft,0.0
nvidia/stt_en_conformer_transducer_xlarge,0.0
openai/whisper-medium.en,0.0
bababababooey/faster-whisper-large-v3,0.0
guillaumekln/faster-whisper-medium,0.0
tsinghua-ee/SALMONN,0.0
voidful/wav2vec2-xlsr-multilingual-56,0.0
nvidia/stt_en_conformer_ctc_large,0.0
vitouphy/wav2vec2-xls-r-300m-timit-phoneme,0.0
openai/whisper-small.en,0.0
tsinghua-ee/SALMONN-7B,0.0
ivrit-ai/whisper-large-v2-tuned,0.0
facebook/s2t-small-librispeech-asr,0.0
openai/whisper-base.en,0.0
facebook/mms-1b-fl102,0.0
Systran/faster-whisper-large-v2,0.0
facebook/wav2vec2-large-960h,0.0
nvidia/stt_en_fastconformer_transducer_xlarge,0.0
speechbrain/m-ctc-t-large,0.0
nvidia/parakeet-ctc-1.1b,0.0
versae/whisper-large-v3,0.0
facebook/wav2vec2-large-robust-ft-swbd-300h,0.0
NbAiLab/nb-whisper-large,0.0
NbAiLab/nb-whisper-small-beta,0.0
facebook/wav2vec2-xls-r-2b-22-to-16,0.0
Systran/faster-distil-whisper-large-v3,0.0
facebook/hubert-xlarge-ls960-ft,0.0
nvidia/stt_en_fastconformer_transducer_xxlarge,0.0
distil-whisper/distil-large-v3-ggml,0.0
OthmaneJ/distil-wav2vec2,0.0
facebook/data2vec-audio-base-960h,0.0
facebook/wav2vec2-large-robust-ft-libri-960h,0.0
speechbrain/asr-crdnn-rnnlm-librispeech,0.0
speechbrain/asr-transformer-aishell,0.0
speechbrain/asr-wav2vec2-commonvoice-en,0.0
guillaumekln/faster-whisper-smallnvidia/parakeet-tdt_ctc-1.1b,0.0
jonatasgrosman/wav2vec2-xls-r-1b-english,0.0
bookbot/wav2vec2-ljspeech-gruut,0.0
